"","ID","test","species","sex","experiment.type","correct.cue","speed","color","side","activity.time","inactivity.time","activity.prop","inactivity.prop","first.quadrant.prop","second.quadrant.prop","third.quadrant.prop","fourth.quadrant.prop","first.cue.time","time.until.first.cue","second.cue.time","time.until.second.cue","touch.1.cue","touch.2.cues","correct.cue.time","time.until.correct.cue","time.until.first.quadrant","time.until.second.quadrant","time.until.correct.quadrant","time.until.lid.exploring","times.resting","escape.time","escape.attemps","success","success.time","time.until.eating","lid.exploring.time","lid.exploring.times","cut.uncut"
"40","OC40","OC40.5","Osmia cornuta","Male","Treatment","Yellow left","2x","Yellow","Left",619814,0,1,0,0.098,0.0086,0.001,0.0114,540678,12706,0,NA,12706,NA,540678,12706,6724,5380,6724,20262,0,0,0,TRUE,612372,612372,573772,4,"cut"
"42","OC42","OC42.5","Osmia cornuta","Male","Control","Yellow right","2x","Yellow","Right",279678,620322,0.3108,0.6892,0.0622,0.0952,0,0,75418,596410,116354,644922,596410,1241332,116354,644922,566562,640738,640738,646244,2,161446,3,FALSE,NA,NA,23778,1,"cut"
"45","OC45","OC45.5","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",395852,0,1,0,0.2804,0.1108,0.2779,0.1561,22854,62136,40142,345232,62136,407368,40142,345232,49350,127620,127620,349364,0,195378,6,TRUE,392036,392036,42672,2,"cut"
"48","OC48","OC48.5","Osmia cornuta","Female","Control","Yellow right","2x","Yellow","Right",397394,0,1,0,0.1023,0.0361,0.0516,0,13702,37258,300264,97130,37258,134388,300264,97130,13600,7928,7928,99670,0,0,0,TRUE,147642,147642,47972,1,"cut"
"49","OC49","OC49.5","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",578372,54308,0.9142,0.0858,0.2875,0.1147,0.2807,0.0475,20882,106542,43970,213778,106542,320320,43970,213778,105726,208610,208610,75164,1,471548,6,TRUE,624482,624482,77770,2,"cut"
"52","OC52","OC52.5","Osmia cornuta","Male","Treatment","Yellow left","2x","Yellow","Left",350880,549120,0.3899,0.6101,0.086,0.4729,0.0231,0.0541,20528,301144,7520,607288,301144,908432,20528,301144,299512,329240,299512,NA,2,316464,2,FALSE,NA,NA,0,0,"cut"
"54","OC54","OC54.5","Osmia cornuta","Male","Treatment","Yellow left","2x","Yellow","Left",490780,409220,0.5453,0.4547,0.2171,0.0621,0.6452,0.0372,26254,15812,5502,793708,15812,809520,26254,15812,2812,755510,2812,867996,1,405552,7,FALSE,NA,NA,16594,1,"cut"
"56","OC56","OC56.5","Osmia cornuta","Male","Treatment","Yellow left","2x","Yellow","Left",0,9e+05,0,1,0,0,0,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,1,0,0,FALSE,NA,NA,0,0,"cut"
"57","OC57","OC57.5","Osmia cornuta","Female","Treatment","Yellow left","2x","Yellow","Left",290302,0,1,0,0.3188,0.1436,0.1134,0.1346,75454,12372,5232,54884,12372,67256,75454,12372,10068,51764,10068,42356,0,182698,5,TRUE,272386,272386,47332,2,"cut"
"58","OC58","OC58.5","Osmia cornuta","Female","Treatment","Blue left","2x","Blue","Left",478384,421616,0.5315,0.4685,0.8029,0,0.0669,0.0082,94830,41030,0,NA,41030,NA,94830,41030,23448,NA,23448,120530,1,0,0,FALSE,NA,NA,135712,1,"cut"
"61","OC61","OC61.5","Osmia cornuta","Female","Control","Blue left","2x","Blue","Left",9e+05,0,1,0,0.1841,0.2521,0.1307,0.1377,12036,205648,238426,20936,20936,226584,12036,205648,41422,15418,41422,51484,0,654720,8,FALSE,NA,NA,13472,1,"cut"
"62","OC62","OC62.5","Osmia cornuta","Female","Control","Blue left","2x","Blue","Left",635260,111852,0.8503,0.1497,0.0064,0.0165,0,0,267052,480060,455242,13320,13320,493380,267052,480060,475284,7696,475284,720028,5,0,0,TRUE,733618,733618,13590,1,"cut"
"63","OC63","OC63.5","Osmia cornuta","Female","Control","Blue left","2x","Blue","Left",539188,0,1,0,0.1976,0.0479,0.0676,0.0698,84876,105144,239742,23114,23114,128258,84876,105144,97110,14506,97110,481514,0,366218,4,TRUE,5e+05,5e+05,18486,1,"cut"
"65","OC65","OC65.5","Osmia cornuta","Male","Control","Blue left","2x","Blue","Left",362360,537640,0.4026,0.5974,0.1683,0.0964,0.0241,0,76786,544930,32934,783436,544930,1328366,76786,544930,530336,780294,530336,640024,2,153896,2,FALSE,NA,NA,28614,1,"cut"
"70","OC70","OC70.5","Osmia cornuta","Female","Treatment","Blue right","2x","Blue","Right",115050,784950,0.1278,0.8722,0.9257,0,0,0,27518,55692,0,NA,55692,NA,0,NA,39354,NA,NA,NA,1,0,0,FALSE,NA,NA,0,0,"cut"
"71","OC71","OC71.5","Osmia cornuta","Female","Treatment","Blue right","2x","Blue","Right",9e+05,0,1,0,0.2387,0.1881,0.174,0.3445,20000,127328,20312,233888,127328,361216,20312,233888,122382,178286,178286,NA,0,883026,17,FALSE,NA,NA,0,0,"cut"
"73","OC73","OC73.5","Osmia cornuta","Female","Treatment","Blue left","2x","Blue","Left",852832,47168,0.9476,0.0524,0.1651,0.178,0.0657,0.072,421730,10876,41552,224396,10876,235272,421730,10876,3900,183292,3900,20524,1,272482,6,FALSE,NA,NA,391794,9,"cut"
"74","OC74","OC74.5","Osmia cornuta","Female","Treatment","Blue left","2x","Blue","Left",707316,192684,0.7859,0.2141,0.1026,0.5419,0.0187,0.2215,74150,8536,25774,29330,8536,37866,74150,8536,3820,26378,3820,10258,2,611990,8,FALSE,NA,NA,43894,1,"cut"
"78","OC78","OC78.5","Osmia cornuta","Male","Treatment","Blue left","2x","Blue","Left",243402,656598,0.2704,0.7296,0.5491,0.3021,0.0109,0.0226,94154,25386,0,NA,25386,NA,94154,25386,14620,107776,14620,62528,2,0,0,FALSE,NA,NA,93740,3,"cut"
"81","OC81","OC81.5","Osmia cornuta","Female","Control","Yellow right","2x","Yellow","Right",9e+05,0,1,0,0.2771,0.2674,0.177,0.1551,29050,18550,77264,39460,18550,58010,77264,39460,16358,35988,35988,NA,0,834778,12,FALSE,NA,NA,0,0,"cut"
"86","OC86","OC86.5","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",9e+05,0,1,0,0.1567,0.4846,0.0809,0.1935,6100,592074,66850,6076,6076,598150,66850,6076,25106,2994,2994,102252,0,842392,10,FALSE,NA,NA,30632,1,"cut"
"88","OC88","OC88.5","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",370348,0,1,0,0.0657,0.039,0.0115,0.0128,5976,112078,313308,8866,8866,120944,313308,8866,108010,3280,3280,42662,0,0,0,TRUE,3e+05,3e+05,231170,3,"cut"
"89","OC89","OC89.5","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",9e+05,0,1,0,0.078,0.1926,0.2004,0.2032,18956,10306,265406,16946,10306,27252,265406,16946,8834,15600,15600,530594,0,463216,7,FALSE,NA,NA,143690,3,"cut"
