"","ID","test","species","sex","experiment.type","correct.cue","speed","color","side","activity.time","inactivity.time","refuge.time","getting.out.refuge.time","activity.prop","inactivity.prop","refuge.prop","first.quadrant.prop","second.quadrant.prop","third.quadrant.prop","fourth.quadrant.prop","first.cue.time","time.until.first.cue","second.cue.time","time.until.second.cue","third.cue.time","time.until.third.cue","fourth.cue.time","time.until.fourth.cue","touch.1.cue","touch.2.cues","touch.3.cues","touch.4.cues","correct.cue.time","time.until.correct.cue","total.cue.time","time.until.first.quadrant","time.until.second.quadrant","time.until.correct.quadrant","time.until.lid.exploring","times.resting","escape.time","escape.attemps","refuge.exit","refuge.enter.times","refuge.re.enter","success","success.time","eating.time","eating.times","time.until.eating","lid.exploring.time","lid.exploring.times","cut.uncut"
"1113","OC11","OC11.4","Osmia cornuta","Male","Treatment","Blue left","2x","Blue","Left",677562,207164,NA,NA,0.7528,0.2302,NA,0.091,0.0896,0.0572,0.0423,629448,22944,13906,68132,NA,NA,NA,NA,22944,91076,NA,NA,629448,22944,643354,17066,6406,17066,NA,4,154474,5,NA,NA,NA,1,23000,NA,1,NA,NA,NA,"uncut"
"1214","OC12","OC12.4","Osmia cornuta","Female","Treatment","Blue left","2x","Blue","Left",807930,85636,NA,NA,0.8977,0.0952,NA,0.111,0.1785,0.1285,0.1656,250652,75748,115344,32148,NA,NA,NA,NA,32148,107896,NA,NA,250652,75748,365996,72036,31684,72036,NA,5,524444,10,NA,NA,NA,0,NA,NA,2,NA,NA,NA,"uncut"
"1314","OC13","OC13.4","Osmia cornuta","Female","Control","Yellow right","2x","Yellow","Right",9e+05,0,NA,NA,1,0,NA,0.2419,0.2557,0.1609,0.2316,47482,12278,49028,29526,NA,NA,NA,NA,12278,41804,NA,NA,49028,29526,96510,2392,25190,25190,NA,0,856568,14,NA,NA,NA,0,NA,NA,0,NA,NA,NA,"uncut"
"153","OC15","OC15.4","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",9e+05,0,NA,NA,1,0,NA,0.2669,0.255,0.1869,0.1697,11692,8078,91362,48766,NA,NA,NA,NA,8078,56844,NA,NA,91362,48766,103054,6256,47806,47806,NA,0,880194,19,NA,NA,NA,0,NA,NA,0,NA,NA,NA,"uncut"
"193","OC19","OC19.4","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",865026,31258,NA,NA,0.9611,0.0347,NA,0.1711,0.2598,0.2256,0.1505,32154,369336,109760,224898,NA,NA,NA,NA,224898,594234,NA,NA,109760,224898,141914,31802,120136,120136,NA,1,683566,8,NA,NA,NA,0,NA,NA,1,NA,NA,NA,"uncut"
"213","OC21","OC21.4","Osmia cornuta","Male","Control","Yellow left","2x","Yellow","Left",791042,15642,NA,NA,0.8789,0.0174,NA,0.1401,0.3155,0.1682,0.1272,167888,213038,30694,339286,NA,NA,NA,NA,213038,552324,NA,NA,167888,213038,198582,160244,25546,160244,NA,1,583830,7,NA,NA,NA,1,112778,NA,2,NA,NA,NA,"uncut"
"223","OC22","OC22.4","Osmia cornuta","Female","Control","Yellow left","2x","Yellow","Left",9e+05,0,NA,NA,1,0,NA,0.1802,0.3122,0.1638,0.1516,124228,23712,42270,112736,NA,NA,NA,NA,23712,136448,NA,NA,124228,23712,166498,15876,11458,15876,NA,0,819844,16,NA,NA,NA,1,11856,NA,0,NA,NA,NA,"uncut"
"233","OC23","OC23.4","Osmia cornuta","Male","Treatment","Blue right","2x","Blue","Right",362678,531446,NA,NA,0.403,0.5905,NA,0.6805,0.0347,0,0,0,NA,234826,29552,NA,NA,NA,NA,29552,NA,NA,NA,234826,29552,234826,287566,21506,21506,NA,3,17410,1,NA,NA,NA,1,22558,NA,1,NA,NA,NA,"uncut"
"243","OC24","OC24.4","Osmia cornuta","Female","Treatment","Yellow left","2x","Yellow","Left",840912,10930,NA,NA,0.9343,0.0121,NA,0.1681,0.1715,0.2218,0.2298,173170,10810,11948,74426,NA,NA,NA,NA,10810,85236,NA,NA,173170,10810,185118,6730,72092,6730,NA,1,749592,32,NA,NA,NA,1,15934,NA,3,NA,NA,NA,"uncut"
"273","OC27","OC27.4","Osmia cornuta","Female","Control","Blue left","2x","Blue","Left",9e+05,0,NA,NA,1,0,NA,0.2503,0.2707,0.1446,0.2169,50378,21486,50118,59134,NA,NA,NA,NA,21486,80620,NA,NA,50378,21486,100496,8224,5248,8224,NA,0,865074,26,NA,NA,NA,0,NA,NA,0,NA,NA,NA,"uncut"
"283","OC28","OC28.4","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",862156,37844,NA,NA,0.958,0.042,NA,0.2609,0.2087,0.2599,0.0904,75078,96386,51392,140786,NA,NA,NA,NA,96386,237172,NA,NA,51392,140786,126470,54226,136242,136242,NA,2,645054,22,NA,NA,NA,1,57825,NA,0,NA,NA,NA,"uncut"
"293","OC29","OC29.4","Osmia cornuta","Male","Treatment","Yellow left","2x","Yellow","Left",809110,0,NA,NA,0.899,0,NA,0.1537,0.115,0.1973,0.1393,320216,17094,22886,112526,NA,NA,NA,NA,17094,129620,NA,NA,320216,17094,343102,12086,105252,12086,NA,0,324328,8,NA,NA,NA,1,16553,NA,7,NA,NA,NA,"uncut"
"303","OC30","OC30.4","Osmia cornuta","Female","Treatment","Yellow left","2x","Yellow","Left",784194,115806,NA,NA,0.8713,0.1287,NA,0.281,0.4821,0.0955,0.0645,33684,25432,27086,43064,NA,NA,NA,NA,25432,68496,NA,NA,33684,25432,60770,22070,17718,22070,NA,1,600234,14,NA,NA,NA,0,NA,NA,0,NA,NA,NA,"uncut"
"313","OC31","OC31.4","Osmia cornuta","Female","Control","Blue right","2x","Blue","Right",9e+05,0,NA,NA,1,0,NA,0.406,0.3127,0.0872,0.0896,24502,82326,60090,120862,NA,NA,NA,NA,82326,203188,NA,NA,60090,120862,84592,17554,46250,46250,NA,0,878160,11,NA,NA,NA,0,NA,NA,0,NA,NA,NA,"uncut"
