"","ID","test","species","sex","experiment.type","correct.cue","speed","color","side","activity.time","inactivity.time","activity.prop","inactivity.prop","first.quadrant.prop","second.quadrant.prop","third.quadrant.prop","fourth.quadrant.prop","first.cue.time","time.until.first.cue","second.cue.time","time.until.second.cue","touch.1.cue","touch.2.cues","correct.cue.time","time.until.correct.cue","time.until.first.quadrant","time.until.second.quadrant","time.until.correct.quadrant","times.resting","escape.time","escape.attemps","eating.time","eating.times","time.until.eating","cut.uncut"
"86","OC86","OC86.3","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",702990,0,0.7811,0,0.1335,0.1692,0.2425,0.1745,13344,102462,227268,66398,66398,168860,227268,66398,11648,62814,62814,0,586688,8,197010,1,702990,"cut"
"88","OC88","OC88.3","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",42686,0,0.0474,0,0,0.0143,0,0,0,NA,882242,9406,9406,NA,882242,9406,NA,4894,4894,0,23632,1,857314,1,42686,"cut"
"89","OC89","OC89.3","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",630832,0,0.7009,0,0.0927,0.1533,0.2163,0.0951,7244,307764,330694,76620,76620,384384,330694,76620,105572,74312,74312,0,494802,8,269168,1,630832,"cut"
"90","OC90","OC90.3","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",82282,0,0.0914,0,0.0232,0.0103,0.0133,0,0,NA,847128,52872,52872,NA,847128,52872,10778,43640,43640,0,0,0,817718,1,82282,"cut"
"92","OC92","OC92.3","Osmia cornuta","Female","Control","Yellow right","2x","Yellow","Right",601088,0,0.6679,0,0.1585,0.1139,0.1771,0.1568,12202,23366,337348,79946,23366,103312,337348,79946,4812,76348,76348,0,587542,10,298912,1,601088,"cut"
"93","OC93","OC93.3","Osmia cornuta","Female","Control","Yellow right","2x","Yellow","Right",357292,0,0.397,0,0.1257,0.0694,0.0847,0.065,18006,14810,568336,35348,14810,50158,568336,35348,10228,33788,33788,0,330804,7,542708,1,357292,"cut"
"95","OC95","OC95.3","Osmia cornuta","Female","Control","Yellow right","2x","Yellow","Right",48952,0,0.0544,0,0.011,0,0.0171,0,860198,39802,0,NA,39802,NA,0,NA,29882,NA,NA,0,0,0,851048,1,48952,"cut"
"96","OC96","OC96.3","Osmia cornuta","Female","Control","Yellow right","2x","Yellow","Right",286538,0,0.3184,0,0.0114,0.0619,0.1204,0.0702,5244,201284,646994,135896,135896,337180,646994,135896,198518,10250,10250,0,0,0,613462,1,286538,"cut"
"103","OC103","OC103.3","Osmia cornuta","Male","Treatment","Blue left","2x","Blue","Left",259782,95594,0.2886,0.1062,0.2039,0.025,0.069,0.0399,560572,339428,0,NA,339428,NA,560572,339428,155882,97468,155882,1,0,0,544624,1,355376,"cut"
"104","OC104","OC104.3","Osmia cornuta","Female","Control","Blue left","2x","Blue","Left",100232,0,0.1114,0,8e-04,0,0,0,801530,98470,0,NA,98470,NA,801530,98470,97778,NA,97778,0,0,0,799768,1,100232,"cut"
"105","OC105","OC105.3","Osmia cornuta","Female","Control","Blue left","2x","Blue","Left",355258,0,0.3947,0,0.1706,0.0739,0.0744,0.0262,567286,12902,16222,69324,12902,82226,567286,12902,5814,64996,5814,0,311300,3,544742,1,355258,"cut"
"106","OC106","OC106.3","Osmia cornuta","Female","Control","Yellow right","2x","Yellow","Right",81624,0,0.0907,0,0.0445,0.018,0.0059,0,4642,27576,826870,73130,27576,100706,826870,73130,12298,56968,56968,0,0,0,818376,1,81624,"cut"
"108","OC108","OC108.3","Osmia cornuta","Female","Control","Yellow right","2x","Yellow","Right",603950,0,0.6711,0,0.1912,0.1429,0.1737,0.091,12868,173720,342140,191912,173720,365632,342140,191912,6062,31272,31272,0,587732,15,296050,1,603950,"cut"
"109","OC109","OC109.3","Osmia cornuta","Female","Treatment","Yellow left","2x","Yellow","Left",84480,0,0.0939,0,0.002,0.0304,0,0.012,849382,50618,4130,22642,22642,73260,849382,50618,48776,6550,48776,0,0,0,815520,1,84480,"cut"
"110","OC110","OC110.3","Osmia cornuta","Female","Treatment","Yellow left","2x","Yellow","Left",25392,0,0.0282,0,0.0068,0,0.0056,0,884226,15774,0,NA,15774,NA,884226,15774,9662,NA,9662,0,0,0,874608,1,25392,"cut"
"111","OC111","OC111.3","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",331470,0,0.3683,0,0.0646,0.0412,0.0403,0.0359,123800,15244,602610,297390,15244,312634,602610,297390,10800,9850,9850,0,194600,2,568530,1,331470,"cut"
"112","OC112","OC112.3","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",359226,0,0.3991,0,0.1892,0.0724,0.0011,0.0852,11684,27488,562900,69926,27488,97414,562900,69926,13396,12358,12358,0,321550,7,540774,1,359226,"cut"
"113","OC113","OC113.3","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",116592,0,0.1295,0,0.0383,0.0214,0.0179,0.0061,3408,3218,819028,62736,3218,65954,819028,62736,2266,61722,61722,0,99956,3,783408,1,116592,"cut"
"114","OC114","OC114.3","Osmia cornuta","Male","Treatment","Yellow right","2x","Yellow","Right",89648,0,0.0996,0,0.0231,0.0052,0,0,7148,23686,856602,43398,23686,67084,856602,43398,10844,38752,38752,0,0,0,810352,1,89648,"cut"
"115","OC115","OC115.3","Osmia cornuta","Female","Control","Blue left","2x","Blue","Left",242300,0,0.2692,0,0.0027,0.0995,0.0105,0.0142,670514,229486,98972,26136,26136,255622,670514,229486,227056,20336,227056,0,126426,4,657700,1,242300,"cut"
"118","OC118","OC118.3","Osmia cornuta","Female","Control","Yellow right","2x","Yellow","Right",100674,0,0.1119,0,0.0031,0.0313,0.0155,0.0158,819266,80734,3786,47814,47814,128548,3786,47814,77938,45940,45940,0,67170,1,799326,1,100674,"cut"
"119","OC119","OC119.3","Osmia cornuta","Female","Control","Blue left","2x","Blue","Left",871936,0,0.9688,0,0.3371,0.156,0.1898,0.1743,59584,314602,57402,132018,132018,446620,59584,314602,50530,11510,50530,0,336536,1,28064,1,871936,"cut"
"120","OC120","OC120.3","Osmia cornuta","Female","Control","Yellow right","2x","Yellow","Right",443722,0,0.493,0,0.0879,0.1594,0.1069,0.0753,8016,165802,494302,79194,79194,244996,494302,79194,52618,76778,76778,0,420608,4,456278,1,443722,"cut"
"123","OC123","OC123.3","Osmia cornuta","Male","Control","Blue left","2x","Blue","Left",58146,0,0.0646,0,0.003,0.0351,0,0,848958,51042,6848,16164,16164,67206,848958,51042,48340,9890,48340,0,31534,1,841854,1,58146,"cut"
"124","OC124","OC124.3","Osmia cornuta","Male","Control","Blue left","2x","Blue","Left",42918,0,0.0477,0,0.0011,0.0182,0,0,875908,24092,3258,6430,6430,30522,875908,24092,23100,3506,23100,0,0,0,857082,1,42918,"cut"
"125","OC125","OC125.3","Osmia cornuta","Male","Control","Blue left","2x","Blue","Left",48688,0,0.0541,0,0.0249,0,0.0169,0,858372,41628,0,NA,41628,NA,858372,41628,4026,NA,4026,0,37282,2,851312,1,48688,"cut"
"127","OC127","OC127.3","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",102140,0,0.1135,0,7e-04,0.001,0.0319,0,0,NA,845370,54630,54630,NA,845370,54630,53094,53688,53688,0,0,0,797860,1,102140,"cut"
"128","OC128","OC128.3","Osmia cornuta","Male","Treatment","Yellow right","2x","Yellow","Right",568100,0,0.6312,0,0.0484,0.212,0.1169,0.1582,31328,80636,363704,456648,80636,537284,363704,456648,77536,23036,23036,0,471722,6,331900,1,568100,"cut"
"129","OC129","OC129.3","Osmia cornuta","Male","Treatment","Yellow right","2x","Yellow","Right",157586,0,0.1751,0,0.106,0.0035,0.0358,0.0022,0,NA,762700,135522,135522,NA,762700,135522,36758,134142,134142,0,0,0,742414,1,157586,"cut"
"130","OC130","OC130.3","Osmia cornuta","Male","Treatment","Yellow right","2x","Yellow","Right",114716,35526,0.1275,0.0395,0.0431,0.0395,0.0211,0.0056,1532,65818,0,NA,65818,NA,0,NA,50264,69442,69442,1,93034,3,749758,1,150242,"cut"
"133","OC133","OC133.3","Osmia cornuta","Female","Control","Blue left","2x","Blue","Left",86962,0,0.0966,0,0.0079,0.0234,0,0,819986,80014,42676,24922,24922,104936,819986,80014,72898,9200,72898,0,0,0,813038,1,86962,"cut"
"134","OC134","OC134.3","Osmia cornuta","Female","Control","Blue left","2x","Blue","Left",189556,0,0.2106,0,0.0262,0.0292,0.0197,0.0762,725932,174068,9416,79286,79286,253354,725932,174068,93668,74888,93668,0,45130,1,710444,1,189556,"cut"
"135","OC135","OC135.3","Osmia cornuta","Female","Treatment","Yellow left","2x","Yellow","Left",84530,0,0.0939,0,0.0042,0,0.028,0.0363,824906,75094,0,NA,75094,NA,824906,75094,71352,NA,71352,0,0,0,815470,1,84530,"cut"
"136","OC136","OC136.3","Osmia cornuta","Female","Treatment","Yellow left","2x","Yellow","Left",313036,0,0.3478,0,0.0832,0.0385,0.107,0.0567,624648,100176,9864,192766,100176,292942,624648,100176,10552,131154,10552,0,172826,9,586964,1,313036,"cut"
"137","OC137","OC137.3","Osmia cornuta","Female","Treatment","Yellow left","2x","Yellow","Left",630112,9332,0.7001,0.0104,0.1473,0.0724,0.153,0.1972,316512,80680,50714,150864,80680,231544,316512,80680,59432,64968,59432,1,482160,11,260556,1,639444,"cut"
"138","OC138","OC138.3","Osmia cornuta","Female","Treatment","Yellow left","2x","Yellow","Left",244422,41354,0.2716,0.0459,0.0747,0.0276,0.1192,0.0633,631162,152430,3790,141714,141714,294144,631162,152430,110752,125050,110752,1,153382,9,614224,1,285776,"cut"
"140","OC140","OC140.3","Osmia cornuta","Female","Treatment","Yellow left","2x","Yellow","Left",173952,3304,0.1933,0.0037,0.0063,0.0037,0.1312,0.0129,729206,170794,0,NA,170794,NA,729206,170794,46640,166348,46640,1,85696,4,722744,1,177256,"cut"
"141","OC141","OC141.3","Osmia cornuta","Female","Treatment","Yellow left","2x","Yellow","Left",96932,0,0.1077,0,0.0125,0.0013,0.0573,0.0225,808170,91830,0,NA,91830,NA,808170,91830,68912,84304,68912,0,0,0,803068,1,96932,"cut"
"142","OC142","OC142.3","Osmia cornuta","Female","Control","Yellow right","2x","Yellow","Right",176400,0,0.196,0,0.0355,0.0083,0.013,0,103948,36166,733194,166806,36166,202972,733194,166806,24884,23376,23376,0,0,0,723600,1,176400,"cut"
"143","OC143","OC143.3","Osmia cornuta","Female","Control","Yellow right","2x","Yellow","Right",308882,0,0.3432,0,0.1036,0.0418,0.0479,0,63704,61558,648668,220336,61558,281894,648668,220336,43586,213744,213744,0,184150,4,591118,1,308882,"cut"
"144","OC144","OC144.3","Osmia cornuta","Female","Control","Yellow right","2x","Yellow","Right",83312,0,0.0926,0,0.0207,0.0067,0.0422,0,0,NA,831584,68416,68416,NA,831584,68416,5744,62368,62368,0,50624,1,816688,1,83312,"cut"
"145","OC145","OC145.3","Osmia cornuta","Female","Control","Yellow right","2x","Yellow","Right",411052,56592,0.4567,0.0629,0.0676,0.0844,0.2291,0.0585,31040,148332,468550,161740,148332,310072,468550,161740,142988,160812,160812,1,320624,5,432356,1,467644,"cut"
