"","ID","test","species","sex","experiment.type","correct.cue","speed","color","side","activity.time","inactivity.time","activity.prop","inactivity.prop","first.quadrant.prop","second.quadrant.prop","third.quadrant.prop","fourth.quadrant.prop","first.cue.time","time.until.first.cue","second.cue.time","time.until.second.cue","touch.1.cue","touch.2.cues","correct.cue.time","time.until.correct.cue","total.cue.time","time.until.first.quadrant","time.until.second.quadrant","time.until.correct.quadrant","times.resting","escape.time","escape.attemps","eating.time","eating.times","time.until.eating","cut.uncut"
"23","OC23","OC23.3","Osmia cornuta","Male","Treatment","Blue right","2x","Blue","Right",791640,20826,0.8796,0.0231,0.1744,0.1947,0.1279,0.2051,27510,243654,208276,41366,41366,285020,208276,41366,235786,174304,32322,32322,1,532204,3,73244,3,51842,"uncut"
"24","OC24","OC24.3","Osmia cornuta","Female","Treatment","Yellow left","2x","Yellow","Left",731752,28224,0.8131,0.0314,0.1806,0.1105,0.0546,0.0344,544958,125346,2680,272536,125346,397882,544958,125346,547638,20820,73990,20820,1,407204,19,139170,1,297530,"uncut"
"25","OC25","OC25.3","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",838168,0,0.9313,0,0.1749,0.116,0.1846,0.1053,4620,119032,366408,18090,18090,137122,366408,18090,371028,10824,6300,6300,0,595540,15,61832,2,25896,"uncut"
"26","OC26","OC26.3","Osmia cornuta","Female","Control","Blue left","2x","Blue","Left",587736,0,0.653,0,0.1731,0.0739,0.204,0.0999,338056,162148,49250,129372,129372,291520,338056,162148,387306,33924,46100,33924,0,462692,6,310524,2,522896,"uncut"
"27","OC27","OC27.3","Osmia cornuta","Female","Control","Blue left","2x","Blue","Left",639318,37252,0.7104,0.0414,0.4381,0.0655,0.0209,0,375800,44556,46980,64482,44556,109038,375800,44556,422780,5214,59000,5214,1,52774,2,223430,3,127242,"uncut"
"28","OC28","OC28.3","Osmia cornuta","Female","Treatment","Yellow left","2x","Yellow","Left",647112,21154,0.719,0.0235,0.2646,0.1,0.1322,0.0814,311964,283036,17348,795732,283036,1078768,311964,283036,329312,52070,50272,52070,1,468582,27,226024,3,296692,"uncut"
"29","OC29","OC29.3","Osmia cornuta","Male","Treatment","Yellow left","2x","Yellow","Left",838116,10148,0.9312,0.0113,0.3349,0.2139,0.0827,0.1026,212714,74768,11126,151234,74768,226002,212714,74768,223840,72848,15428,72848,1,674668,29,51736,4,79440,"uncut"
"30","OC30","OC30.3","Osmia cornuta","Female","Treatment","Yellow left","2x","Yellow","Left",824754,75246,0.9164,0.0836,0.2138,0.4665,0.1072,0.1318,58768,83380,7386,222788,83380,306168,58768,83380,66154,77972,6450,77972,2,629378,9,0,0,NA,"uncut"
"31","OC31","OC31.3","Osmia cornuta","Female","Control","Blue right","2x","Blue","Right",737598,24800,0.8196,0.0276,0.156,0.2566,0.1101,0.137,15118,76754,277374,149026,76754,225780,277374,149026,292492,73506,49074,49074,2,515566,11,137602,1,498514,"uncut"
"32","OC32","OC32.3","Osmia cornuta","Male","Control","Blue right","2x","Blue","Right",734140,720,0.8157,8e-04,0.1301,0.1182,0.0209,0.0787,252354,83776,296288,230478,83776,314254,296288,230478,548642,77504,68288,68288,1,305152,6,165140,2,304926,"uncut"
"33","OC33","OC33.3","Osmia cornuta","Female","Treatment","Blue right","2x","Blue","Right",865936,34064,0.9622,0.0378,0.3214,0.2695,0.1231,0.0614,112080,20040,82740,36034,20040,56074,82740,36034,194820,7312,31384,31384,2,744448,16,0,0,NA,"uncut"
"34","OC34","OC34.3","Osmia cornuta","Female","Treatment","Blue right","2x","Blue","Right",737740,162260,0.8197,0.1803,0.1522,0.1419,0.1357,0.08,58280,73180,320814,92818,73180,165998,320814,92818,379094,67974,89948,89948,3,650736,14,0,0,NA,"uncut"
"35","OC35","OC35.3","Osmia cornuta","Female","Treatment","Blue left","2x","Blue","Left",774300,45752,0.8603,0.0508,0.2404,0.1546,0.088,0.0427,378902,52346,11548,374606,52346,426952,378902,52346,390450,46506,36338,46506,4,491142,30,79948,6,58354,"uncut"
"36","OC36","OC36.3","Osmia cornuta","Male","Treatment","Blue left","2x","Blue","Left",814240,0,0.9047,0,0.2079,0.1588,0.0574,0.1897,279604,29000,62758,21360,21360,50360,279604,29000,342362,25926,5236,25926,0,451558,10,85760,8,36174,"uncut"
"37","OC37","OC37.3","Osmia cornuta","Female","Treatment","Blue left","2x","Blue","Left",856768,43232,0.952,0.048,0.4467,0.1563,0.141,0.1459,40526,133168,10576,250062,133168,383230,40526,133168,51102,47950,94574,47950,3,496590,8,0,0,NA,"uncut"
"38","OC38","OC38.3","Osmia cornuta","Male","Treatment","Yellow left","2x","Yellow","Left",738454,0,0.8205,0,0.2127,0.1285,0.1323,0.1796,277334,46768,10274,281692,46768,328460,277334,46768,287608,42810,243650,42810,0,573250,20,161546,2,50554,"uncut"
"39","OC39","OC39.3","Osmia cornuta","Male","Treatment","Yellow left","2x","Yellow","Left",784932,0,0.8721,0,0.2232,0.1399,0.1905,0.2208,176998,110356,14080,154708,110356,265064,176998,110356,191078,58320,96194,58320,0,711004,25,115068,1,238054,"uncut"
"40","OC40","OC40.3","Osmia cornuta","Male","Treatment","Yellow left","2x","Yellow","Left",745264,17804,0.8281,0.0198,0.245,0.0419,0.0762,0.0805,456962,38722,11816,304176,38722,342898,456962,38722,468778,32054,245816,32054,1,367366,2,100600,4,56368,"uncut"
"42","OC42","OC42.3","Osmia cornuta","Male","Control","Blue left","2x","Blue","Left",663798,37184,0.7376,0.0413,0.0358,0.2406,0.0266,0,434786,83546,183050,12764,12764,96310,434786,83546,617836,81172,9370,81172,1,104958,2,199018,3,106654,"uncut"
"43","OC43","OC43.3","Osmia cornuta","Male","Control","Blue left","2x","Blue","Left",9e+05,0,1,0,0.2102,0.2424,0.2306,0.1338,34834,327784,107696,24442,24442,352226,34834,327784,142530,87916,22212,87916,0,857320,14,0,0,NA,"uncut"
"44","OC44","OC44.3","Osmia cornuta","Male","Treatment","Yellow right","2x","Yellow","Right",806258,0,0.8958,0,0.0954,0.2291,0.1008,0.1477,61898,160806,315870,35178,35178,195984,315870,35178,377768,158326,6510,6510,0,388044,18,93742,7,37568,"uncut"
"45","OC45","OC45.3","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",824964,0,0.9166,0,0.0562,0.1081,0.0013,0.0272,43226,7562,677106,58598,7562,66160,677106,58598,720332,6096,55924,55924,0,714698,11,75036,2,80262,"uncut"
"46","OC46","OC46.3","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",167280,732720,0.1859,0.8141,0,0,0,0,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,1,0,0,0,0,NA,"uncut"
"47","OC47","OC47.3","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",9e+05,0,1,0,0.1201,0.4254,0.2348,0.0462,24998,27780,118534,147826,27780,175606,118534,147826,143532,20456,137100,137100,0,812228,5,0,0,NA,"uncut"
"48","OC48","OC48.3","Osmia cornuta","Female","Control","Blue left","2x","Blue","Left",768592,0,0.854,0,0.2465,0.2111,0.1223,0.0242,221872,119066,123710,35156,35156,154222,221872,119066,345582,116324,10708,116324,0,594654,25,131408,4,125412,"uncut"
"49","OC49","OC49.3","Osmia cornuta","Male","Control","Blue left","2x","Blue","Left",829262,0,0.9214,0,0.1253,0.234,0.0292,0.0508,329532,56048,164784,43440,43440,99488,329532,56048,494316,53536,27566,53536,0,523614,9,70738,5,62210,"uncut"
"50","OC50","OC50.3","Osmia cornuta","Male","Control","Blue left","2x","Blue","Left",827698,0,0.9197,0,0.0277,0.2127,0,0.0029,445140,58922,228114,22922,22922,81844,445140,58922,673254,52860,10362,52860,0,431092,3,72302,1,68316,"uncut"
"51","OC51","OC51.3","Osmia cornuta","Male","Treatment","Yellow left","2x","Yellow","Left",810774,0,0.9009,0,0.1808,0.0545,0.1533,0.0299,502618,19862,11122,138438,19862,158300,502618,19862,513740,14518,137014,14518,0,380386,6,89226,9,28388,"uncut"
"52","OC52","OC52.3","Osmia cornuta","Male","Treatment","Yellow left","2x","Yellow","Left",349124,0,0.3879,0,0.0771,0.0256,0.0467,0.0476,710510,27994,2518,777128,27994,805122,710510,27994,713028,24024,774428,24024,0,177834,6,550876,2,52968,"uncut"
"53","OC53","OC53.3","Osmia cornuta","Male","Treatment","Yellow left","2x","Yellow","Left",758718,0,0.843,0,0.135,0.1415,0.0357,0.1086,499770,61172,14680,386752,61172,447924,499770,61172,514450,6858,383670,6858,0,308846,7,141282,2,70026,"uncut"
"54","OC54","OC54.3","Osmia cornuta","Male","Treatment","Yellow left","2x","Yellow","Left",741442,0,0.8238,0,0.1999,0.0882,0.1694,0.1064,331504,85378,45040,833060,85378,918438,331504,85378,376544,20578,66724,20578,0,497294,15,158558,3,269332,"uncut"
"56","OC56","OC56.3","Osmia cornuta","Male","Control","Yellow left","2x","Yellow","Left",748222,0,0.8314,0,0.1506,0.1653,0.0984,0.0461,421608,201686,43632,22676,22676,224362,421608,201686,465240,108036,20470,108036,0,468498,5,151778,2,210966,"uncut"
"57","OC57","OC57.3","Osmia cornuta","Female","Treatment","Yellow left","2x","Yellow","Left",779218,0,0.8658,0,0.3393,0.0847,0.0688,0.1143,329244,40700,13434,104128,40700,144828,329244,40700,342678,11040,20624,11040,0,319348,7,120782,2,152500,"uncut"
"58","OC58","OC58.3","Osmia cornuta","Female","Treatment","Blue left","2x","Blue","Left",771698,0,0.8574,0,0.1537,0.2026,0.0977,0.1204,321732,15234,55668,154698,15234,169932,321732,15234,377400,11442,149460,11442,0,414652,11,128302,1,196210,"uncut"
"59","OC59","OC59.3","Osmia cornuta","Female","Treatment","Blue left","2x","Blue","Left",769190,0,0.8547,0,0.1012,0.1828,0.2268,0.1343,285814,27766,23998,236328,27766,264094,285814,27766,309812,25034,66194,25034,0,447182,8,130810,4,323794,"uncut"
"60","OC60","OC60.3","Osmia cornuta","Female","Treatment","Blue left","2x","Blue","Left",9e+05,0,1,0,0.2462,0.3243,0.1031,0.2505,22462,134622,24120,170814,134622,305436,22462,134622,46582,85056,82398,85056,0,749490,11,0,0,NA,"uncut"
"61","OC61","OC61.3","Osmia cornuta","Female","Control","Yellow right","2x","Yellow","Right",698252,19346,0.7758,0.0215,0.0738,0.1398,0.0768,0.1185,7806,399096,508834,51416,51416,450512,508834,51416,516640,397096,45702,45702,1,465098,9,182402,2,66296,"uncut"
"62","OC62","OC62.3","Osmia cornuta","Female","Control","Yellow right","2x","Yellow","Right",762068,0,0.8467,0,0.0781,0.1583,0.0393,0.0391,51242,24068,547296,46104,24068,70172,547296,46104,598538,19758,18250,18250,0,569164,3,137932,1,150614,"uncut"
"63","OC63","OC63.3","Osmia cornuta","Female","Control","Yellow right","2x","Yellow","Right",650256,84656,0.7225,0.0941,0.2392,0.1029,0.0324,0.1436,25998,8364,403604,128312,8364,136676,403604,128312,429602,4058,33964,33964,2,278020,7,165088,2,148492,"uncut"
"64","OC64","OC64.3","Osmia cornuta","Female","Control","Yellow right","2x","Yellow","Right",9e+05,0,1,0,0.3225,0.2021,0.269,0.1279,33932,330642,24976,158994,158994,489636,24976,158994,58908,237618,155138,155138,0,876670,10,0,0,NA,"uncut"
"65","OC65","OC65.3","Osmia cornuta","Male","Control","Yellow right","2x","Yellow","Right",9e+05,0,1,0,0.1318,0.0941,0.6633,0.0455,12642,821512,16288,768504,768504,1590016,16288,768504,28930,667798,698232,698232,0,807864,5,0,0,NA,"uncut"
"70","OC70","OC70.3","Osmia cornuta","Female","Treatment","Blue right","2x","Blue","Right",898396,1604,0.9982,0.0018,0.2283,0.2066,0.0564,0.1119,234016,24662,110882,52060,24662,76722,110882,52060,344898,22668,50906,50906,1,617666,10,0,0,NA,"uncut"
"71","OC71","OC71.3","Osmia cornuta","Female","Treatment","Blue right","2x","Blue","Right",837602,4822,0.9307,0.0054,0.2448,0.1662,0.1621,0.1316,44776,71632,214392,82810,71632,154442,214392,82810,259168,68812,23900,23900,2,595156,12,57576,1,531412,"uncut"
"73","OC73","OC73.3","Osmia cornuta","Female","Treatment","Blue left","2x","Blue","Left",808698,0,0.8986,0,0.1611,0.1246,0.1337,0.1025,288424,27020,120094,206106,27020,233126,288424,27020,408518,22914,21788,22914,0,529722,12,91302,4,41878,"uncut"
"74","OC74","OC74.3","Osmia cornuta","Female","Treatment","Blue left","2x","Blue","Left",725404,27546,0.806,0.0306,0.2176,0.1073,0.08,0.0538,444664,11476,38454,27658,11476,39134,444664,11476,483118,3964,24946,3964,1,184420,3,147050,1,224940,"uncut"
"75","OC75","OC75.3","Osmia cornuta","Female","Treatment","Blue left","2x","Blue","Left",9e+05,0,1,0,0.2406,0.2668,0.1591,0.1319,128562,52486,47594,10656,10656,63142,128562,52486,176156,49262,5258,49262,0,875034,10,0,0,NA,"uncut"
"77","OC77","OC77.3","Osmia cornuta","Male","Control","Blue left","2x","Blue","Left",138200,11666,0.5857,0.0494,0.0052,0.0616,0,0,189824,46134,0,NA,46134,NA,189824,46134,189824,44904,30364,44904,1,0,0,86092,2,74446,"uncut"
"78","OC78","OC78.3","Osmia cornuta","Male","Treatment","Blue left","2x","Blue","Left",681570,0,0.7573,0,0.1374,0.0986,0.0686,0.0163,448688,49394,137720,386560,49394,435954,448688,49394,586408,24768,26592,24768,0,319482,6,218430,4,66620,"uncut"
"79","OC79","OC79.3","Osmia cornuta","Female","Control","Blue left","2x","Blue","Left",641088,76286,0.7123,0.0848,0.059,0.1296,0.032,0.0846,587008,79826,34000,15106,15106,94932,587008,79826,621008,76994,11554,76994,1,271632,6,182626,3,179698,"uncut"
"81","OC81","OC81.3","Osmia cornuta","Female","Control","Blue left","2x","Blue","Left",718680,0,0.7985,0,0.0387,0.0853,0.1494,0.2234,398326,233090,43628,137976,137976,371066,398326,233090,441954,90076,132274,90076,0,491946,8,181320,2,548146,"uncut"
"82","OC82","OC82.3","Osmia cornuta","Female","Control","Blue left","2x","Blue","Left",516962,383038,0.5744,0.4256,0.167,0.0622,0.6848,0.0145,32242,45090,26616,12606,12606,57696,32242,45090,58858,19450,5506,19450,2,417346,7,0,0,NA,"uncut"
"83","OC83","OC83.3","Osmia cornuta","Female","Control","Blue left","2x","Blue","Left",759702,0,0.8441,0,0.18,0.0854,0.0861,0.0806,461820,12064,39988,288558,12064,300622,461820,12064,501808,9304,284506,9304,0,226894,4,140298,5,44448,"uncut"
"84","OC84","OC84.3","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",770898,37086,0.8566,0.0412,0.0019,0.1145,0.2486,0.1526,29438,423566,398144,12604,12604,436170,398144,12604,427582,395678,6606,6606,1,157828,1,92016,3,19020,"uncut"
"85","OC85","OC85.3","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",603686,296314,0.6708,0.3292,0.0515,0.6835,0.1402,0,41394,124822,66718,79494,79494,204316,66718,79494,108112,103910,77910,77910,1,132128,1,0,0,NA,"uncut"
"86","OC86","OC86.3","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",732572,0,0.814,0,0.1335,0.1692,0.2425,0.1745,13344,102462,227268,66398,66398,168860,227268,66398,240612,11648,62814,62814,0,586688,8,167428,1,702990,"uncut"
"87","OC87","OC87.3","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",9e+05,0,1,0,0.2051,0.3144,0.2699,0.1593,12716,102442,28398,76838,76838,179280,28398,76838,41114,100066,69412,69412,0,865548,10,0,0,NA,"uncut"
"88","OC88","OC88.3","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",821478,0,0.9128,0,0.1381,0.1879,0.0871,0.0694,15362,400144,445578,9406,9406,409550,445578,9406,460940,398948,4894,4894,0,257044,7,78522,2,42686,"uncut"
"89","OC89","OC89.3","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",847226,0,0.9414,0,0.0953,0.1816,0.2716,0.1172,7244,307764,233272,76620,76620,384384,233272,76620,240516,105572,74312,74312,0,666810,11,52774,1,630832,"uncut"
"90","OC90","OC90.3","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",474642,289870,0.5274,0.3221,0.12,0.5313,0.0576,0.0082,10850,383768,232972,52872,52872,436640,232972,52872,243822,10778,43640,43640,1,60328,1,135488,1,82282,"uncut"
"91","OC91","OC91.3","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",9e+05,0,1,0,0.269,0.1203,0.2136,0.2939,56826,52274,28866,60820,52274,113094,28866,60820,85692,7122,60066,60066,0,855708,12,0,0,NA,"uncut"
"92","OC92","OC92.3","Osmia cornuta","Female","Control","Yellow right","2x","Yellow","Right",630948,0,0.7011,0,0.1585,0.1335,0.1771,0.1568,12202,23366,319660,79946,23366,103312,319660,79946,331862,4812,76348,76348,0,611910,11,269052,2,601088,"uncut"
"93","OC93","OC93.3","Osmia cornuta","Female","Control","Yellow right","2x","Yellow","Right",823924,0,0.9155,0,0.1573,0.2137,0.1712,0.1397,25802,14810,257008,35348,14810,50158,257008,35348,282810,10228,33788,33788,0,723354,10,76076,1,357292,"uncut"
"94","OC94","OC94.3","Osmia cornuta","Female","Control","Yellow right","2x","Yellow","Right",9e+05,0,1,0,0.346,0.1803,0.2559,0.0846,36174,69328,77586,56050,56050,125378,77586,56050,113760,16454,53484,53484,0,732078,6,0,0,NA,"uncut"
"95","OC95","OC95.3","Osmia cornuta","Female","Control","Yellow right","2x","Yellow","Right",441736,0,0.4908,0,0.2656,0.0427,0.0699,0,540470,39802,4642,849224,39802,889026,4642,849224,545112,29882,598522,598522,0,0,0,421218,2,48952,"uncut"
"96","OC96","OC96.3","Osmia cornuta","Female","Control","Yellow right","2x","Yellow","Right",722964,0,0.8033,0,0.0667,0.0815,0.2585,0.0702,13144,201284,447378,135896,135896,337180,447378,135896,460522,198518,10250,10250,0,0,0,177036,2,286538,"uncut"
"101","OC101","OC101.3","Osmia cornuta","Female","Treatment","Blue left","2x","Blue","Left",862336,37664,0.9582,0.0418,0.2369,0.3247,0.2071,0.1697,5696,82414,29086,118526,82414,200940,5696,82414,34782,20590,113518,20590,1,709952,5,0,0,NA,"uncut"
"103","OC103","OC103.3","Osmia cornuta","Male","Treatment","Blue left","2x","Blue","Left",771482,95594,0.8572,0.1062,0.2855,0.025,0.069,0.0399,487188,339428,0,NA,339428,NA,487188,339428,487188,155882,97468,155882,1,0,0,32924,2,355376,"uncut"
"104","OC104","OC104.3","Osmia cornuta","Female","Control","Blue left","2x","Blue","Left",601514,0,0.6683,0,0.0499,0.0455,0,0.0592,655386,98470,7638,800378,98470,898848,655386,98470,663024,97778,798106,97778,0,119530,2,298486,4,100232,"uncut"
"105","OC105","OC105.3","Osmia cornuta","Female","Control","Blue left","2x","Blue","Left",650442,0,0.7227,0,0.1974,0.1298,0.1113,0.0719,412310,12902,22470,69324,12902,82226,412310,12902,434780,5814,64996,5814,0,484982,6,249558,1,355258,"uncut"
"106","OC106","OC106.3","Osmia cornuta","Female","Control","Yellow right","2x","Yellow","Right",635884,54368,0.7065,0.0604,0.0891,0.0934,0.0157,0.0756,170064,27576,476482,73130,27576,100706,476482,73130,646546,12298,56968,56968,2,25830,1,209748,2,81624,"uncut"
"107","OC107","OC107.3","Osmia cornuta","Female","Control","Yellow right","2x","Yellow","Right",9e+05,0,1,0,0.2201,0.3654,0.1924,0.167,28450,28636,17604,313866,28636,342502,17604,313866,46054,3578,161176,161176,0,880534,10,0,0,NA,"uncut"
"108","OC108","OC108.3","Osmia cornuta","Female","Control","Yellow right","2x","Yellow","Right",603950,0,0.6711,0,0.1912,0.1429,0.1737,0.091,12868,173720,342140,191912,173720,365632,342140,191912,355008,6062,31272,31272,0,587732,15,296050,1,603950,"uncut"
"109","OC109","OC109.3","Osmia cornuta","Female","Treatment","Yellow left","2x","Yellow","Left",646868,8768,0.7187,0.0097,0.1484,0.0556,0.0722,0.1076,537048,50618,11026,22642,22642,73260,537048,50618,548074,48776,6550,48776,2,208718,3,244364,3,84480,"uncut"
"110","OC110","OC110.3","Osmia cornuta","Female","Treatment","Yellow left","2x","Yellow","Left",805940,37502,0.8955,0.0417,0.2622,0.1556,0.0693,0.0462,410042,15774,5362,128638,15774,144412,410042,15774,415404,9662,112638,9662,1,527636,2,56558,2,25392,"uncut"
"111","OC111","OC111.3","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",748630,0,0.8318,0,0.1105,0.0954,0.0666,0.1104,211422,15244,334148,297390,15244,312634,334148,297390,545570,10800,9850,9850,0,492586,5,151370,2,331470,"uncut"
"112","OC112","OC112.3","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",674122,0,0.749,0,0.1892,0.0795,0.0011,0.0852,11684,27488,556480,69926,27488,97414,556480,69926,568164,13396,12358,12358,0,321550,7,225878,1,359226,"uncut"
"113","OC113","OC113.3","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",857618,0,0.9529,0,0.1725,0.1507,0.0986,0.1424,91334,3218,298662,62736,3218,65954,298662,62736,389996,2266,61722,61722,0,637496,16,42382,1,116592,"uncut"
"114","OC114","OC114.3","Osmia cornuta","Male","Treatment","Yellow right","2x","Yellow","Right",780040,22324,0.8667,0.0248,0.1743,0.1626,0.0735,0.0257,27688,23686,469002,43398,23686,67084,469002,43398,496690,10844,38752,38752,1,365728,8,97636,2,89648,"uncut"
"115","OC115","OC115.3","Osmia cornuta","Female","Control","Blue left","2x","Blue","Left",739422,0,0.8216,0,0.0716,0.2621,0.0692,0.0331,387188,229486,104102,26136,26136,255622,387188,229486,491290,227056,20336,227056,0,402530,9,160578,1,242300,"uncut"
"116","OC116","OC116.3","Osmia cornuta","Female","Control","Blue left","2x","Blue","Left",738116,161884,0.8201,0.1799,0.1779,0.2722,0.1799,0.1385,20546,169862,19886,293760,169862,463622,20546,169862,40432,167980,233542,167980,1,694606,8,0,0,NA,"uncut"
"117","OC117","OC117.3","Osmia cornuta","Female","Control","Blue left","2x","Blue","Left",9e+05,0,1,0,0.251,0.5049,0.0728,0.1233,17934,20764,12856,140460,20764,161224,17934,20764,30790,12298,136804,12298,0,810118,3,0,0,NA,"uncut"
"118","OC118","OC118.3","Osmia cornuta","Female","Control","Yellow right","2x","Yellow","Right",529692,0,0.5885,0,0.1662,0.0633,0.0832,0.0606,504008,80734,42330,47814,47814,128548,42330,47814,546338,77938,45940,45940,0,498342,2,288690,2,100674,"uncut"
"119","OC119","OC119.3","Osmia cornuta","Female","Control","Blue left","2x","Blue","Left",871936,0,0.9688,0,0.3371,0.156,0.1898,0.1743,59584,314602,57402,132018,132018,446620,59584,314602,116986,50530,11510,50530,0,336536,1,28064,1,871936,"uncut"
"120","OC120","OC120.3","Osmia cornuta","Female","Control","Yellow right","2x","Yellow","Right",606158,0,0.6735,0,0.0879,0.2715,0.1069,0.0977,8016,165802,373122,79194,79194,244996,373122,79194,381138,52618,76778,76778,0,420608,4,293842,1,443722,"uncut"
"121","OC121","OC121.3","Osmia cornuta","Female","Control","Yellow right","2x","Yellow","Right",9e+05,0,1,0,0.1633,0.442,0.1506,0.1665,17862,125246,34096,110440,110440,235686,34096,110440,51958,87522,105640,105640,0,861214,11,0,0,NA,"uncut"
"123","OC123","OC123.3","Osmia cornuta","Male","Control","Blue left","2x","Blue","Left",784622,0,0.8718,0,0.2656,0.2611,0.0622,0.034,288006,51042,41454,16164,16164,67206,288006,51042,329460,48340,9890,48340,0,704938,15,115378,1,58146,"uncut"
"124","OC124","OC124.3","Osmia cornuta","Male","Control","Blue left","2x","Blue","Left",787234,0,0.8747,0,0.161,0.1036,0.0406,0.1574,400006,24092,80228,6430,6430,30522,400006,24092,480234,23100,3506,23100,0,346904,4,112766,4,42918,"uncut"
"125","OC125","OC125.3","Osmia cornuta","Male","Control","Blue left","2x","Blue","Left",721826,0,0.802,0,0.1902,0.3022,0.1116,0.097,220976,41628,44146,327934,41628,369562,220976,41628,265122,4026,186704,4026,0,712306,14,170512,1,48688,"uncut"
"126","OC126","OC126.3","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",9e+05,0,1,0,0.1844,0.337,0.1981,0.2082,42306,126096,15382,167900,126096,293996,15382,167900,57688,61414,7388,7388,0,678818,6,0,0,NA,"uncut"
"127","OC127","OC127.3","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",859056,0,0.9545,0,0.1511,0.2284,0.1607,0.159,53390,234236,192882,54630,54630,288866,192882,54630,246272,53094,53688,53688,0,494566,7,40944,1,102140,"uncut"
