"","ID","test","species","sex","experiment.type","correct.cue","speed","activity.time","inactivity.time","refuge.time","getting.out.refuge.time","activity.prop","inactivity.prop","refuge.prop","first.quadrant.prop","second.quadrant.prop","third.quadrant.prop","fourth.quadrant.prop","first.cue.time","time.until.first.cue","second.cue.time","time.until.second.cue","third.cue.time","time.until.third.cue","fourth.cue.time","time.until.fourth.cue","touch.1.cue","touch.2.cues","touch.3.cues","touch.4.cues","times.resting","time.until.first.quadrant","time.until.second.quadrant","escape.time","escape.attemps","refuge.exit","refuge.enter.times","refuge.re.enter","success","success.time","cut.uncut"
"129","OC129","OC129.1","Osmia cornuta","Male","Treatment","","2x",786016,0,95244,16604,0.8734,0,0.1058,0.3103,0.1974,0.1864,0.1156,10078,129262,15126,200366,21166,27150,2514,342028,27150,156412,356778,698806,0,62988,79742,582264,28,"Yes",4,TRUE,TRUE,342028,"uncut"
"130","OC130","OC130.1","Osmia cornuta","Male","Treatment","","2x",753430,0,146570,146570,0.8371,0,0.1629,0.13,0.1408,0.2164,0.0228,14358,265352,268034,269322,2222,198378,0,NA,198378,463730,733052,NA,0,233674,268088,681064,8,"Yes",0,FALSE,FALSE,NA,"uncut"
"131","OC131","OC131.1","Osmia cornuta","Female","Control","","4x",889184,30324,0,NA,0.967,0.033,0,0.1906,0.3976,0.3268,0.0807,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,1,3932,26724,333740,6,"No",0,FALSE,FALSE,NA,"uncut"
"132","OC132","OC132.1","Osmia cornuta","Female","Control","","4x",9e+05,0,0,NA,1,0,0,0.2917,0.2135,0.2928,0.1756,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,50224,49516,802168,6,"No",0,FALSE,FALSE,NA,"uncut"
"133","OC133","OC133.1","Osmia cornuta","Female","Control","","2x",450000,0,0,NA,1,0,0,0.3495,0.223,0.2065,0.2069,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,6308,28118,420476,8,"No",0,FALSE,FALSE,NA,"uncut"
"134","OC134","OC134.1","Osmia cornuta","Female","Control","","4x",9e+05,0,0,NA,1,0,0,0.2607,0.2004,0.3043,0.2257,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,7956,38496,869004,13,"No",0,FALSE,FALSE,NA,"uncut"
"135","OC135","OC135.1","Osmia cornuta","Female","Treatment","","2x",577306,0,322694,2020,0.6415,0,0.3585,0.226,0.0735,0.1134,0.0376,105324,58538,5208,116546,6376,150312,4056,366786,58538,175084,325396,692182,0,50020,114274,252726,15,"Yes",5,TRUE,TRUE,366786,"uncut"
"136","OC136","OC136.1","Osmia cornuta","Female","Treatment","","2x",385488,0,514512,40130,0.4283,0,0.5717,0.068,0.0543,0.1477,0.1117,12368,128466,15040,102418,0,NA,9088,217474,102418,230884,448358,NA,0,127826,101746,207152,5,"Yes",1,TRUE,FALSE,NA,"uncut"
"137","OC137","OC137.1","Osmia cornuta","Female","Treatment","","2x",518710,0,381290,27214,0.5763,0,0.4237,0.1994,0.1012,0.1258,0.0868,25534,233870,3166,354430,3952,457362,14606,211610,211610,445480,799910,1257272,0,77964,161372,243074,9,"Yes",1,TRUE,FALSE,NA,"uncut"
"138","OC138","OC138.1","Osmia cornuta","Female","Treatment","","2x",576862,0,323138,320974,0.641,0,0.359,0.2891,0.0648,0.0761,0.1209,33658,431800,5078,386602,8100,456166,16518,466760,386602,818402,1274568,1741328,0,333174,368686,444800,23,"Yes",1,TRUE,TRUE,466760,"uncut"
"139","OC139","OC139.1","Osmia cornuta","Female","Treatment","","2x",881182,0,18818,2834,0.9791,0,0.0209,0.2395,0.2183,0.1734,0.1073,97066,61642,52610,110918,19636,43194,20810,296440,43194,104836,215754,512194,0,61062,110096,437882,13,"Yes",1,TRUE,TRUE,296440,"uncut"
"140","OC140","OC140.1","Osmia cornuta","Female","Treatment","","2x",0,0,9e+05,9e+05,0,0,1,0,0,0,0,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,0,"No",0,FALSE,FALSE,NA,"uncut"
"142","OC142","OC142.1","Osmia cornuta","Female","Control","","4x",9e+05,0,0,NA,1,0,0,0.4451,0.2139,0.1443,0.1911,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,5068,29172,878968,19,"No",0,FALSE,FALSE,NA,"uncut"
"143","OC143","OC143.1","Osmia cornuta","Female","Control","","4x",888588,5944,0,NA,0.9873,0.0066,0,0.3202,0.224,0.2784,0.1548,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,1,76868,290348,849256,25,"No",0,FALSE,FALSE,NA,"uncut"
"144","OC144","OC144.1","Osmia cornuta","Female","Control","","4x",9e+05,0,0,NA,1,0,0,0.1904,0.2008,0.1285,0.2998,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,162508,310352,636948,4,"No",0,FALSE,FALSE,NA,"uncut"
"145","OC145","OC145.1","Osmia cornuta","Female","Control","","4x",888512,11488,0,NA,0.9872,0.0128,0,0.2868,0.2389,0.2942,0.149,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,1,38960,96944,867568,24,"No",0,FALSE,FALSE,NA,"uncut"
"146","OC146","OC146.1","Osmia cornuta","Female","Control","","4x",9e+05,0,0,NA,1,0,0,0.3081,0.2257,0.2239,0.2316,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,44180,56928,875500,21,"No",0,FALSE,FALSE,NA,"uncut"
