"","ID","test","species","sex","experiment.type","correct.cue","speed","color","side","activity.time","inactivity.time","activity.prop","inactivity.prop","first.quadrant.prop","second.quadrant.prop","third.quadrant.prop","fourth.quadrant.prop","first.cue.time","time.until.first.cue","second.cue.time","time.until.second.cue","touch.1.cue","touch.2.cues","correct.cue.time","time.until.correct.cue","total.cue.time","time.until.first.quadrant","time.until.second.quadrant","time.until.correct.quadrant","times.resting","escape.time","escape.attemps","eating.time","eating.times","time.until.eating","cut.uncut"
"77","OC77","OC77.2","Osmia cornuta","Male","Control","Blue left","2x","Blue","Left",732490,4314,0.8139,0.0048,0.0781,0.2899,0.0522,0.0707,410956,83782,29932,565496,83782,649278,410956,83782,440888,66778,17306,66778,1,433288,13,163196,2,109424,"uncut"
"78","OC78","OC78.2","Osmia cornuta","Male","Treatment","Blue left","2x","Blue","Left",515800,0,0.5731,0,0.1249,0.0734,0.0205,0,677098,73496,4658,866664,73496,940160,677098,73496,681756,24272,812104,24272,0,0,0,384200,1,93252,"uncut"
"79","OC79","OC79.2","Osmia cornuta","Female","Control","Yellow right","2x","Yellow","Right",715342,0,0.7948,0,0.1924,0.1898,0.1529,0.1094,33074,53032,252122,84230,53032,137262,252122,84230,285196,35494,34726,34726,0,657554,9,184658,1,677768,"uncut"
"81","OC81","OC81.2","Osmia cornuta","Female","Control","Yellow right","2x","Yellow","Right",9e+05,0,1,0,0.082,0.3032,0.2268,0.3153,4688,416844,47342,59292,59292,476136,47342,59292,52030,160508,57994,57994,0,871878,15,0,0,NA,"uncut"
"82","OC82","OC82.2","Osmia cornuta","Female","Control","Yellow right","2x","Yellow","Right",818440,81560,0.9094,0.0906,0.1805,0.1548,0.3332,0.2121,79762,3784,25294,64360,3784,68144,25294,64360,105056,2440,61670,61670,1,808848,16,0,0,NA,"uncut"
"83","OC83","OC83.2","Osmia cornuta","Female","Control","Yellow right","2x","Yellow","Right",674992,0,0.75,0,0.1881,0.07,0.0476,0.0381,160096,363460,423470,29972,29972,393432,423470,29972,583566,7012,28020,28020,0,489244,3,225008,1,48724,"uncut"
"84","OC84","OC84.2","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",770508,0,0.8561,0,0.1031,0.1988,0.0865,0.108,13022,53512,434440,81256,53512,134768,434440,81256,447462,49432,47784,47784,0,458584,8,129492,2,210088,"uncut"
"85","OC85","OC85.2","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",9e+05,0,1,0,0.2357,0.4096,0.1441,0.1557,30512,230774,14032,403302,230774,634076,14032,403302,44544,87990,4918,4918,0,851914,11,0,0,NA,"uncut"
"86","OC86","OC86.2","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",9e+05,0,1,0,0.1817,0.2461,0.2807,0.1887,41582,131962,28212,60010,60010,191972,28212,60010,69794,75786,58010,58010,0,857974,24,0,0,NA,"uncut"
"88","OC88","OC88.2","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",726904,0,0.8077,0,0.1009,0.1485,0.1641,0.0704,55414,379230,375948,69738,69738,448968,375948,69738,431362,374406,60370,60370,0,488580,10,173096,1,82746,"uncut"
"89","OC89","OC89.2","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",725002,21542,0.8056,0.0239,0.0527,0.2699,0.1112,0.0967,16092,176248,394462,121054,121054,297302,394462,121054,410554,12108,22730,22730,1,433080,10,153456,1,511478,"uncut"
"90","OC90","OC90.2","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",653376,1904,0.726,0.0021,0.0941,0.0928,0.0081,0.0351,11072,342128,676964,20034,20034,362162,676964,20034,688036,4880,16208,16208,1,264848,1,244720,3,25552,"uncut"
"91","OC91","OC91.2","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",9e+05,0,1,0,0.3549,0.2236,0.1433,0.1906,41696,45336,23310,62178,45336,107514,23310,62178,65006,13844,58780,58780,0,848696,14,0,0,NA,"uncut"
"92","OC92","OC92.2","Osmia cornuta","Female","Control","Blue left","2x","Blue","Left",630648,269352,0.7007,0.2993,0.5201,0.0424,0.4076,0,8518,23344,9296,101456,23344,124800,8518,23344,17814,9108,86598,9108,2,164596,1,0,0,NA,"uncut"
"93","OC93","OC93.2","Osmia cornuta","Female","Control","Blue left","2x","Blue","Left",802672,0,0.8919,0,0.2989,0.1134,0.1275,0.0444,351646,36084,18592,118340,36084,154424,351646,36084,370238,16724,104612,16724,0,693804,9,97328,1,305284,"uncut"
"94","OC94","OC94.2","Osmia cornuta","Female","Control","Blue left","2x","Blue","Left",9e+05,0,1,0,0.4462,0.2442,0.0513,0.1344,64916,29250,37554,171876,29250,201126,64916,29250,102470,8962,93412,8962,0,694494,5,0,0,NA,"uncut"
"96","OC96","OC96.2","Osmia cornuta","Female","Control","Blue left","2x","Blue","Left",830784,69216,0.9231,0.0769,0.3698,0.1703,0.1169,0.1899,109504,66804,18210,562498,66804,629302,109504,66804,127714,10098,49684,10098,1,0,0,0,0,NA,"uncut"
"97","OC97","OC97.2","Osmia cornuta","Female","Treatment","Yellow left","2x","Yellow","Left",9e+05,0,1,0,0.2106,0.1992,0.2469,0.1625,109414,51266,6898,429394,51266,480660,109414,51266,116312,46386,354884,46386,0,742110,8,0,0,NA,"uncut"
"98","OC98","OC98.2","Osmia cornuta","Male","Treatment","Yellow left","2x","Yellow","Left",541962,358038,0.6022,0.3978,0.2256,0.0253,0.3418,0.0461,164374,735626,0,NA,735626,NA,164374,735626,164374,486794,704682,486794,3,282048,1,0,0,NA,"uncut"
"99","OC99","OC99.2","Osmia cornuta","Male","Treatment","Yellow left","2x","Yellow","Left",211068,688932,0.2345,0.7655,0,0,0,0,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,4,0,0,0,0,NA,"uncut"
"101","OC101","OC101.2","Osmia cornuta","Female","Treatment","Blue left","2x","Blue","Left",9e+05,0,1,0,0.3357,0.0876,0.3121,0.2159,17602,46756,17386,40906,40906,87662,17602,46756,34988,45958,38476,45958,0,845934,10,0,0,NA,"uncut"
"102","OC102","OC102.2","Osmia cornuta","Female","Treatment","Blue left","2x","Blue","Left",594822,305178,0.6609,0.3391,0.5352,0.2702,0.1177,0.0159,5848,516698,35000,149092,149092,665790,5848,516698,40848,31728,136682,31728,2,0,0,0,0,NA,"uncut"
"103","OC103","OC103.2","Osmia cornuta","Male","Treatment","Blue left","2x","Blue","Left",806426,0,0.896,0,0.2441,0.0891,0.1095,0.2116,293922,80432,12822,51456,51456,131888,293922,80432,306744,27246,49776,27246,0,722224,29,93574,2,89482,"uncut"
"104","OC104","OC104.2","Osmia cornuta","Female","Control","Yellow right","2x","Yellow","Right",745460,17264,0.8283,0.0192,0.1778,0.1679,0.1466,0.1267,16160,240372,319636,97872,97872,338244,319636,97872,335796,14466,9112,9112,1,525528,7,137276,3,520654,"uncut"
"105","OC105","OC105.2","Osmia cornuta","Female","Control","Yellow right","2x","Yellow","Right",9e+05,0,1,0,0.3082,0.3484,0.1517,0.1069,19394,93688,54368,3186,3186,96874,54368,3186,73762,67556,2550,2550,0,886288,19,0,0,NA,"uncut"
"106","OC106","OC106.2","Osmia cornuta","Female","Control","Blue left","2x","Blue","Left",607508,0,0.675,0,0.2655,0.1499,0.1651,0.1088,243238,80196,32168,188308,80196,268504,243238,80196,275406,51890,4116,51890,0,577314,4,193438,1,607508,"uncut"
"107","OC107","OC107.2","Osmia cornuta","Female","Control","Blue left","2x","Blue","Left",9e+05,0,1,0,0.2095,0.2018,0.3327,0.1282,19930,83564,90042,93454,83564,177018,19930,83564,109972,80046,89534,80046,0,882018,12,0,0,NA,"uncut"
"108","OC108","OC108.2","Osmia cornuta","Female","Control","Blue left","2x","Blue","Left",9e+05,0,1,0,0.2728,0.2165,0.1966,0.1845,52690,38258,50880,59702,38258,97960,52690,38258,103570,36270,17072,36270,0,326408,8,0,0,NA,"uncut"
"109","OC109","OC109.2","Osmia cornuta","Female","Treatment","Yellow left","2x","Yellow","Left",9e+05,0,1,0,0.245,0.2251,0.2209,0.0744,166926,16924,28834,94156,16924,111080,166926,16924,195760,15338,76078,15338,0,798374,5,0,0,NA,"uncut"
"110","OC110","OC110.2","Osmia cornuta","Female","Treatment","Yellow left","2x","Yellow","Left",425726,0,0.473,0,0.0587,0.0583,0.0479,0.0493,664366,36434,8368,292366,36434,328800,664366,36434,672734,34444,289998,34444,0,98912,1,404930,3,38350,"uncut"
"111","OC111","OC111.2","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",342208,0,0.3802,0,0.0446,0.0965,0.034,0.0276,9888,367656,704846,6000,6000,373656,704846,6000,714734,364008,2902,2902,0,222706,4,299816,2,14000,"uncut"
"112","OC112","OC112.2","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",9e+05,0,1,0,0.2591,0.283,0.2208,0.1455,24962,105034,51890,8922,8922,113956,51890,8922,76852,104060,5514,5514,0,886388,14,0,0,NA,"uncut"
"113","OC113","OC113.2","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",718480,0,0.7983,0,0.1028,0.223,0.0296,0.0205,66090,41438,486698,31354,31354,72792,486698,31354,552788,38954,27436,27436,0,292130,7,181520,2,99752,"uncut"
"114","OC114","OC114.2","Osmia cornuta","Male","Treatment","Yellow right","2x","Yellow","Right",828048,0,0.9201,0,0.2994,0.1449,0.1621,0.1656,12752,29272,183138,49512,29272,78784,183138,49512,195890,26744,47768,47768,0,700456,11,71952,1,519160,"uncut"
"115","OC115","OC115.2","Osmia cornuta","Female","Control","Yellow right","2x","Yellow","Right",741358,1008,0.8237,0.0011,0.2756,0.1745,0.045,0.0492,34866,55422,359696,129102,55422,184524,359696,129102,394562,52398,127998,127998,1,527794,15,157634,1,135630,"uncut"
"116","OC116","OC116.2","Osmia cornuta","Female","Control","Yellow right","2x","Yellow","Right",854430,45570,0.9494,0.0506,0.327,0.3045,0.0568,0.0743,75546,101050,51692,91496,91496,192546,51692,91496,127238,100008,86460,86460,1,766082,16,0,0,NA,"uncut"
"117","OC117","OC117.2","Osmia cornuta","Female","Control","Yellow right","2x","Yellow","Right",834018,65982,0.9267,0.0733,0.3455,0.2004,0.2084,0.0367,44362,82676,69286,190930,82676,273606,69286,190930,113648,74456,188304,188304,1,786274,11,0,0,NA,"uncut"
"118","OC118","OC118.2","Osmia cornuta","Female","Control","Yellow right","2x","Yellow","Right",9e+05,0,1,0,0.2437,0.2199,0.1902,0.1267,43554,122088,147266,27830,27830,149918,147266,27830,190820,77526,6756,6756,0,861736,33,0,0,NA,"uncut"
"119","OC119","OC119.2","Osmia cornuta","Male","Control","Yellow right","2x","Yellow","Right",9e+05,0,1,0,0.2375,0.3081,0.1205,0.1714,42240,79252,95416,20770,20770,100022,95416,20770,137656,78230,14418,14418,0,824650,8,0,0,NA,"uncut"
"120","OC120","OC120.2","Osmia cornuta","Female","Control","Blue left","2x","Blue","Left",9e+05,0,1,0,0.1749,0.2597,0.1832,0.2338,46410,42666,70498,72106,42666,114772,46410,42666,116908,28924,37022,28924,0,822536,9,0,0,NA,"uncut"
"121","OC121","OC121.2","Osmia cornuta","Female","Control","Blue left","2x","Blue","Left",9e+05,0,1,0,0.2715,0.2998,0.1072,0.1857,37938,67356,42818,55004,55004,122360,37938,67356,80756,41456,49668,41456,0,817456,11,0,0,NA,"uncut"
"122","OC122","OC122.2","Osmia cornuta","Female","Control","Yellow right","2x","Yellow","Right",362594,537406,0.4029,0.5971,0.0536,0.1518,0.0759,0.6586,19376,271188,14516,97666,97666,368854,14516,97666,33892,88548,92450,92450,2,274272,3,0,0,NA,"uncut"
"123","OC123","OC123.2","Osmia cornuta","Male","Control","Yellow right","2x","Yellow","Right",9e+05,0,1,0,0.187,0.2042,0.3161,0.2046,20572,137952,49472,98114,98114,236066,49472,98114,70044,18834,9298,9298,0,846924,13,0,0,NA,"uncut"
"124","OC124","OC124.2","Osmia cornuta","Male","Control","Yellow right","2x","Yellow","Right",9e+05,0,1,0,0.2056,0.161,0.1898,0.1804,174882,85030,58128,24230,24230,109260,58128,24230,233010,83318,18182,18182,0,828298,6,0,0,NA,"uncut"
"125","OC125","OC125.2","Osmia cornuta","Male","Control","Yellow right","2x","Yellow","Right",9e+05,0,1,0,0.3514,0.1804,0.1408,0.149,75420,44614,67908,143436,44614,188050,67908,143436,143328,17246,39104,39104,0,804008,8,0,0,NA,"uncut"
"126","OC126","OC126.2","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",869812,30188,0.9665,0.0335,0.1199,0.4322,0.2063,0.0821,37816,77926,64212,51216,51216,129142,64212,51216,102028,41490,50158,50158,1,716892,8,0,0,NA,"uncut"
"127","OC127","OC127.2","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",771604,0,0.8573,0,0.2059,0.1761,0.1246,0.1206,23864,64012,299178,94112,64012,158124,299178,94112,323042,49294,69768,69768,0,281596,3,128396,1,251038,"uncut"
"128","OC128","OC128.2","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",826558,73442,0.9184,0.0816,0.1513,0.2641,0.2408,0.1202,49318,104512,63064,89492,89492,194004,63064,89492,112382,103780,88860,88860,1,775972,7,0,0,NA,"uncut"
"129","OC129","OC129.2","Osmia cornuta","Male","Treatment","Yellow right","2x","Yellow","Right",786816,0,0.8742,0,0.2246,0.2815,0.0085,0.1862,26448,30084,226466,53572,30084,83656,226466,53572,252914,16404,53080,53080,0,444714,8,113184,1,630292,"uncut"
"130","OC130","OC130.2","Osmia cornuta","Male","Treatment","Yellow right","2x","Yellow","Right",9e+05,0,1,0,0.3173,0.2121,0.1973,0.1259,49620,22524,68706,41636,22524,64160,68706,41636,118326,14396,40710,40710,0,640636,4,0,0,NA,"uncut"
"131","OC131","OC131.2","Osmia cornuta","Female","Control","Yellow right","2x","Yellow","Right",781032,118968,0.8678,0.1322,0.5518,0.0534,0.0975,0.0706,143056,84490,37218,159656,84490,244146,37218,159656,180274,23832,159048,159048,1,414254,2,0,0,NA,"uncut"
"132","OC132","OC132.2","Osmia cornuta","Female","Control","Yellow right","2x","Yellow","Right",728590,171410,0.8095,0.1905,0.2968,0.1426,0.1317,0.3517,28936,73180,36994,145790,73180,218970,36994,145790,65930,3518,84796,84796,2,602608,15,0,0,NA,"uncut"
"133","OC133","OC133.2","Osmia cornuta","Female","Control","Yellow right","2x","Yellow","Right",817360,0,0.9082,0,0.1217,0.1818,0.0373,0.1186,64180,367302,392330,78392,78392,445694,392330,78392,456510,364198,73256,73256,0,520682,13,82640,1,168328,"uncut"
"135","OC135","OC135.2","Osmia cornuta","Female","Treatment","Yellow left","2x","Yellow","Left",842678,57322,0.9363,0.0637,0.2579,0.2749,0.2311,0.1279,65888,91338,27512,310918,91338,402256,65888,91338,93400,90068,219832,90068,1,764510,28,0,0,NA,"uncut"
"136","OC136","OC136.2","Osmia cornuta","Female","Treatment","Yellow left","2x","Yellow","Left",704918,52860,0.7832,0.0587,0.1652,0.0378,0.1316,0.1169,404164,164156,20276,187556,164156,351712,404164,164156,424440,104140,186310,104140,1,410980,14,142222,1,516954,"uncut"
"137","OC137","OC137.2","Osmia cornuta","Female","Treatment","Yellow left","2x","Yellow","Left",9e+05,0,1,0,0.1664,0.1444,0.1076,0.4286,38546,146774,83518,84712,84712,231486,38546,146774,122064,127478,83496,127478,0,786906,15,0,0,NA,"uncut"
"138","OC138","OC138.2","Osmia cornuta","Female","Treatment","Yellow left","2x","Yellow","Left",9e+05,0,1,0,0.434,0.191,0.1478,0.1253,41572,46162,19730,258778,46162,304940,41572,46162,61302,37594,30398,37594,0,817724,13,0,0,NA,"uncut"
"140","OC140","OC140.2","Osmia cornuta","Female","Treatment","Yellow left","2x","Yellow","Left",784194,0,0.8713,0,0.2703,0.0879,0.1032,0.1539,246850,236554,35006,131546,131546,368100,246850,236554,281856,140586,128506,140586,0,556360,10,115806,1,645884,"uncut"
"141","OC141","OC141.2","Osmia cornuta","Female","Treatment","Yellow left","2x","Yellow","Left",754820,145180,0.8387,0.1613,0.1021,0.1089,0.2176,0.55,8300,424270,0,NA,424270,NA,8300,424270,8300,10964,40448,10964,4,412450,12,0,0,NA,"uncut"
